"year","Critically Endangered","Endangered","Extinct","Vulnerable"
2000,13,586,85,727
2001,42,568,87,737
2002,51,570,87,736
2003,68,588,87,752
2004,72,589,87,754
2005,75,598,88,759
2006,89,618,88,772
2007,93,619,88,772
2008,93,625,88,775
2009,138,642,89,776
2010,148,647,89,777
2011,158,654,89,781
2012,163,654,89,780
2013,180,651,89,779
2014,197,658,89,780
2015,210,669,89,789
2016,221,682,89,794
2017,223,683,89,794
2018,257,707,90,795
2019,279,717,92,795
2020,289,719,92,795
2021,308,727,104,800
2022,318,747,104,799
2023,398,803,104,793
2024,424,827,104,801
