"year","Critically Endangered","Endangered","Extinct","Vulnerable","total"
2000,13,586,85,728,1412
2001,42,568,87,738,1435
2002,51,570,87,737,1445
2003,68,588,87,753,1496
2004,72,589,87,755,1503
2005,75,598,88,760,1521
2006,89,617,88,773,1567
2007,93,618,88,773,1572
2008,93,624,88,776,1581
2009,138,641,89,777,1645
2010,148,646,89,778,1661
2011,158,653,89,782,1682
2012,163,653,89,781,1686
2013,180,650,89,780,1699
2014,197,657,89,781,1724
2015,210,668,89,790,1757
2016,221,681,89,795,1786
2017,223,682,89,795,1789
2018,257,706,90,796,1849
2019,279,716,92,796,1883
2020,289,718,92,796,1895
2021,308,726,104,801,1939
2022,318,746,104,800,1968
2023,398,802,104,794,2098
2024,421,822,103,792,2138
